SiteKey,Year,MonthNum,kWp,lat,Lon,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,month_sin,month_cos,actual_monthly_generation_kwh
19,2020,10,10175.478,0.0,0.0,655.51294,-44.128956,98.288246,-110.18426,128.07521,2701.7,21562.71484375
20,2020,10,-2006.3561,0.0,0.0,277.21027,1.4388262,125.873245,-194.49821,92.46607,1494.2648,8266.451171875
21,2020,10,-5922.9927,0.0,0.0,224.95822,2.2788296,127.31612,-159.80275,51.86967,1240.376,4076.623046875
22,2020,10,-2862.2517,0.0,0.0,296.71255,1.3770989,136.9768,-189.5606,89.88385,1448.0022,7428.478515625
23,2020,10,-4247.7065,0.0,0.0,327.6771,19.267544,137.27927,-202.5627,53.862396,1319.1925,5847.12109375
24,2020,10,-1170.0637,0.0,0.0,302.0099,2.7205603,129.79666,-192.1237,59.085594,1430.5461,8990.017578125
25,2020,10,28641.344,0.0,0.0,432.3556,68.53625,376.3918,-1108.0719,159.53586,3888.7566,40609.7421875
26,2020,10,-5901.937,0.0,0.0,221.90724,1.303656,126.26259,-155.10577,51.78553,1239.4843,4124.443359375
27,2020,10,34794.176,0.0,0.0,414.39017,327.21463,114.353424,-255.6338,429.9484,6695.0317,50950.75
30,2020,10,-5899.6724,0.0,0.0,240.10089,4.489188,124.54567,-164.50917,46.305,1225.2206,3841.3134765625
31,2020,10,-2279.9507,0.0,0.0,266.42325,-2.0791283,122.21462,-208.3193,90.752075,1475.8635,7806.1015625
32,2020,10,-6456.127,0.0,0.0,190.78076,-1.147246,121.50887,-169.65373,42.121685,1185.276,3373.5546875
33,2020,10,-1244.4008,0.0,0.0,265.11664,38.33303,122.443634,-249.99794,92.72906,1542.3145,8952.08984375
34,2020,10,-7676.4907,0.0,0.0,114.850174,3.86722,119.07762,-160.66084,77.044304,1117.2402,2002.8408203125
35,2020,10,-7176.3237,0.0,0.0,122.11189,9.192087,123.29453,-188.34377,132.56088,1116.2216,2816.9052734375
36,2020,10,-4949.7207,0.0,0.0,278.31903,1.0911019,124.232056,-154.82837,57.75526,1285.695,5135.1337890625
37,2020,10,-4919.268,0.0,0.0,280.0406,0.9215769,125.69701,-157.1699,60.82341,1286.0459,5122.3056640625
