SiteKey,Year,MonthNum,CampusKey,kWp,Number of panels,Panel,Inverter,lat,Lon,monthly_generation_kwh,nonnull_generation_intervals,air_temperature_mean_c,apparent_temperature_mean_c,dew_point_mean_c,relative_humidity_mean_pct,wind_speed_mean,generation_kwh_per_kwp,month_sin,month_cos
34,2020,8,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,1605.2275390625,1062,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,75.04570075093501,-0.8660254037844384,-0.5000000000000004
35,2020,8,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,2101.91015625,1082,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,71.37216150254669,-0.8660254037844384,-0.5000000000000004
36,2020,8,1,49.83,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,3480.7548828125,1116,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,69.85259648429661,-0.8660254037844384,-0.5000000000000004
37,2020,8,1,51.15,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K,-37.71828652,145.0509752,3452.55810546875,1142,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,67.49869218902737,-0.8660254037844384,-0.5000000000000004
38,2020,8,1,56.76,172.0,Trina 330W,1 x SolarEdge SE50K,-37.71828652,145.0509752,4071.10009765625,1135,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,71.7248079220622,-0.8660254037844384,-0.5000000000000004
39,2020,8,1,47.74,154.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,713.7001042366028,375,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,14.94972987508594,-0.8660254037844384,-0.5000000000000004
40,2020,8,1,84.81,257.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,5198.3388671875,1098,10.160414426536962,7.5013956093037635,6.962679211476814,82.57992831543011,10.276200716826613,61.29393782793892,-0.8660254037844384,-0.5000000000000004
14,2020,9,1,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,-37.71828652,145.0509752,6279.662109375,1157,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,95.1463955965909,-1.0,-1.8369701987210297e-16
15,2020,9,1,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,7958.8779296875,1141,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,84.45328872758384,-1.0,-1.8369701987210297e-16
17,2020,9,1,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,4223.51904296875,1147,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,93.31681491314075,-1.0,-1.8369701987210297e-16
18,2020,9,1,167.97,509.0,Trina 330W,3 x SolarEdge SE50K,-37.71828652,145.0509752,16931.49609375,1188,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,100.80071497142347,-1.0,-1.8369701987210297e-16
19,2020,9,1,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,-37.71828652,145.0509752,19243.431640625,1169,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,560.7060501347611,-1.0,-1.8369701987210297e-16
20,2020,9,1,77.22,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,7715.4794921875,1181,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,99.91555933938747,-1.0,-1.8369701987210297e-16
21,2020,9,1,39.27,119.0,Trina 330W,2 x SolarEdge SE17K,-37.71828652,145.0509752,3577.91552734375,1131,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,91.11065768636999,-1.0,-1.8369701987210297e-16
22,2020,9,1,72.27,219.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,6470.6845703125,1164,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,89.5348632947627,-1.0,-1.8369701987210297e-16
23,2020,9,1,58.9,190.0,Trina 310W,1 x SolarEdge SE50K,-37.71828652,145.0509752,5339.65380859375,1153,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,90.65626160600594,-1.0,-1.8369701987210297e-16
24,2020,9,1,40.26,122.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,8482.642578125,1146,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,210.6965369628664,-1.0,-1.8369701987210297e-16
25,2020,9,1,384.12,1164.0,Trina 330W,4 x SolarEdge SE82.8K,-37.71828652,145.0509752,37059.45703125,1185,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,96.47885304397063,-1.0,-1.8369701987210297e-16
26,2020,9,1,38.94,118.0,Trina 330W,1 x SolarEdge SE17K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,3452.27880859375,1098,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,88.65636385705574,-1.0,-1.8369701987210297e-16
27,2020,9,1,539.8,1240.92,SunpowerSPR-E20-435-COM,5 X ABB,-37.71828652,145.0509752,38786.375,1023,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,71.85323267876993,-1.0,-1.8369701987210297e-16
30,2020,9,1,42.16,136.0,Trina 310W,2 x SolarEdge SE17K,-37.71828652,145.0509752,3687.9769287109375,1120,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,87.47573360320061,-1.0,-1.8369701987210297e-16
31,2020,9,1,76.23,231.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,7073.4853515625,1135,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,92.79135972140233,-1.0,-1.8369701987210297e-16
32,2020,9,1,35.64,108.0,Trina 330W,2 x SolarEdge SE15K,-37.71828652,145.0509752,3004.27587890625,1131,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,84.29505833070286,-1.0,-1.8369701987210297e-16
33,2020,9,1,87.78,266.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,8366.376953125,1161,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,95.31074223200045,-1.0,-1.8369701987210297e-16
34,2020,9,1,21.39,69.0,Trina 310W,1 x SolarEdge SE17K,-37.71828652,145.0509752,1978.083984375,1093,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,92.47704461781206,-1.0,-1.8369701987210297e-16
35,2020,9,1,29.45,95.0,Trina 310W,1 x SolarEdge SE25K,-37.71828652,145.0509752,2682.20703125,1110,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,91.07663943123939,-1.0,-1.8369701987210297e-16
36,2020,9,1,49.83,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,4579.82763671875,1142,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,91.90904348221453,-1.0,-1.8369701987210297e-16
37,2020,9,1,51.15,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K,-37.71828652,145.0509752,4415.0380859375,1142,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,86.3155051014174,-1.0,-1.8369701987210297e-16
38,2020,9,1,56.76,172.0,Trina 330W,1 x SolarEdge SE50K,-37.71828652,145.0509752,5277.5859375,1163,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,92.98072476215646,-1.0,-1.8369701987210297e-16
39,2020,9,1,47.74,154.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,3018.6737060546875,1125,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,63.23153971626911,-1.0,-1.8369701987210297e-16
40,2020,9,1,84.81,257.0,Trina 330W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,6789.2080078125,1160,13.084627314748959,10.484087962960764,7.500131944414583,71.67196759263541,10.699770833320834,80.05197509506544,-1.0,-1.8369701987210297e-16
14,2020,10,1,66.0,200.0,Trina 330W,2 x SolarEdge SE27.6K,-37.71828652,145.0509752,7176.017578125,1380,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,108.7275390625,-0.8660254037844386,0.5000000000000001
15,2020,10,1,94.24,304.0,Trina 310W,1 x SolarEdge SE82.8K,-37.71828652,145.0509752,9774.466796875,1404,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,103.7188751790641,-0.8660254037844386,0.5000000000000001
17,2020,10,1,45.26,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,4646.5419921875,1379,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,102.66332284992268,-0.8660254037844386,0.5000000000000001
18,2020,10,1,167.97,509.0,Trina 330W,3 x SolarEdge SE50K,-37.71828652,145.0509752,17944.9609375,1392,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,106.83432123295827,-0.8660254037844386,0.5000000000000001
19,2020,10,1,34.32,104.0,Trina 330W,1 x SolarEdge SE27.6K,-37.71828652,145.0509752,21562.71484375,1422,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,628.2842320439977,-0.8660254037844386,0.5000000000000001
20,2020,10,1,77.22,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K,-37.71828652,145.0509752,8266.451171875,1400,14.285560789555856,12.283564378599932,9.680112157892328,76.80157021083782,10.456556751890982,107.05064972643098,-0.8660254037844386,0.5000000000000001
